[asn.txt]                                        2017-02-24 02:05:05Z

This file contains a list of autonomous system numbers and names of all
registered ASNs.  The column on the right below contains the ARIN
database "handle" of the technical, abuse or NOC contacts for the ASN.
Additional information may be obtained about any of the ASN contacts
in this list by querying the ARIN WHOIS server.  For questions or updates
on this information please contact the ARIN Registration Services Hostmaster
staff, HOSTMASTER@ARIN.NET.

AS Number               AS Name                                            POC Handles
 3850                    NAGRAUSA                                           SHARM11-ARIN (Abuse), SHARM11-ARIN (Tech), SHARM11-ARIN (Admin), SHARM11-ARIN (NOC)
 3851                    NSHE-NEVADANET                                     NSD10-ARIN (Abuse), KEF2-ARIN (Tech), NSD10-ARIN (NOC), DNS1065-ARIN (Admin)
 3852                    MAG-AS                                             JF212-ARIN (Abuse), JF212-ARIN (Tech), JF212-ARIN (Admin)
 3853                    WHIDBEY                                            NOC12205-ARIN (Tech), NOC12205-ARIN (NOC), NOC12205-ARIN (Abuse), JW316-ARIN (Admin), JW316-ARIN (Abuse), JW316-ARIN (Tech)
 3854                    DNACO-AS                                           DR103-ARIN (Abuse), DR103-ARIN (Tech), DR103-ARIN (Admin)
 3855                    LOGIC-3855                                         NOC1859-ARIN (Admin), NOC1859-ARIN (Tech), NOC1859-ARIN (Abuse), NOC1859-ARIN (NOC)
 3856                    PCH-AS                                             PCHARA-ARIN (Admin), PCHTRA-ARIN (Tech), PCHARA1-ARIN (Abuse), PCHNRA-ARIN (NOC)
 3857                    INC                                                CKN23-ARIN (Tech), CKN23-ARIN (Admin), CKN23-ARIN (Abuse), AE19-ARIN (Tech)
 3858                    NPPDNET                                            ARINA88-ARIN (Abuse), ARINT30-ARIN (Tech), ITSEC20-ARIN (Admin)
 3859-3897               DNIC-ASBLK-03859-03897                             REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 3898                    UCSF-HISD                                          MJ73-ARIN (Admin), MJ73-ARIN (Tech), MJ73-ARIN (Abuse)
 3899                    CHICO-NET                                          CC1228-ARIN (Abuse), JK297-ARIN (Abuse), CKN23-ARIN (Admin), CKN23-ARIN (Tech), ZC189-ARIN (Tech)
 3900                    TEXASNET-ASN                                       DFNOC-ARIN (Admin), DFNOC-ARIN (Tech), ABUSE991-ARIN (Abuse), TXNT-NOC-ARIN (Tech)
 3901                    ARRAKIS                                            MCCRI-ARIN (Admin), MCCRI-ARIN (Tech), MCCRI-ARIN (Abuse), MCCRI-ARIN (NOC)
 3902                    GLAXOSMITHKLINE                                    GSKAD-ARIN (Admin), GSKTE-ARIN (Tech), GSKSE-ARIN (Abuse)
 3903                    NAG-AS                                             BS155-ARIN (Admin), BS155-ARIN (Abuse), BS155-ARIN (Tech)
 3904                    ASTHOUGHTPRT                                       ADMIN2706-ARIN (Admin), ADMIN2706-ARIN (Tech), ADMIN2706-ARIN (Abuse), ADMIN2706-ARIN (NOC), ABUSE3140-ARIN (Abuse)
 3905                    LACNIC-3905                                        LACNIC-ARIN (Tech), LACNIC-ARIN (Admin), LACNIC-ARIN (Abuse)
 3906                    ADS-1-AS                                           CS154-ARIN (Tech), CS154-ARIN (Abuse), CS154-ARIN (Admin)
 3907                    CONNECT-1-NET                                      CKN23-ARIN (Abuse), CKN23-ARIN (Tech), CKN23-ARIN (Admin), DBK2-ARIN (Tech)
 3908                    CENTURYLINK-ASIA-LEGACY-QWEST                      CAD54-ARIN (Abuse), QIA-ARIN (Admin), QIA-ARIN (Tech)
 3909                    CENTURYLINK-LEGACY-QWEST-VDOC                      CAD54-ARIN (Abuse), QIA-ARIN (Admin), QIA-ARIN (Tech)
 3910                    CENTURYLINK-EUROPE-LEGACY-QWEST                    CAD54-ARIN (Abuse), QIA-ARIN (Admin), QIA-ARIN (Tech)
 3911                    MIS-AS                                             IM72-ARIN (Tech), IM72-ARIN (Admin), IM72-ARIN (NOC), IM72-ARIN (Abuse)
 3912                    CHECS                                              CHECS-ARIN (Abuse), CHECS-ARIN (Tech), CHECS-ARIN (Admin), CHECS-ARIN (NOC)
 3913                    UMSM                                               UMITA-ARIN (Abuse), UMITT-ARIN (NOC), UMITA1-ARIN (Admin), UMITT-ARIN (Tech), ABUSE706-ARIN (Abuse), ITSEC4-ARIN (NOC), DAVID35-ARIN (Tech)
 3914                    KMHP-AS-ARIN                                       JLA336-ARIN (NOC), JLA336-ARIN (Admin), JLA336-ARIN (Tech), JLA336-ARIN (Abuse)
 3916                    OSIS-PACOM                                         JF154-ARIN (Abuse), JF154-ARIN (Admin), JF154-ARIN (Tech)
 3917-3918               RIPE-ASNBLOCK-3917                                 RNO29-ARIN (Tech), RNO29-ARIN (Admin), ABUSE3850-ARIN (Abuse)
 3919                    HARBORNET                                          CKN23-ARIN (Abuse), CKN23-ARIN (Admin), CKN23-ARIN (Tech), KL68-ARIN (Tech)
 3920                    IMS-RTFM                                           CM225-ARIN (Tech), CM225-ARIN (Abuse), CM225-ARIN (Admin)
 3921                    AGNOGE                                             GET2-ORG-ARIN (Admin), GET2-ORG-ARIN (Abuse), GET2-ORG-ARIN (Tech)
 3922                    AS3922                                             NETWO6251-ARIN (Abuse), NETWO6251-ARIN (Tech), NETWO6251-ARIN (Admin)
 3923                    FAA-MMAC                                           TKL8-ARIN (Abuse), TKL8-ARIN (Tech), TKL8-ARIN (Admin), GS180-ARIN (Tech)
 3924                    TX-OAG                                             JT1-ARIN (Abuse), CKN23-ARIN (Tech), CKN23-ARIN (Admin), MB269-ARIN (Tech)
 3925                    ICO-SV                                             NO8-ORG-ARIN (Abuse), NO8-ORG-ARIN (Admin), NO8-ORG-ARIN (Tech)
 3926                    FFX-CNTY                                           FN4-ARIN (Tech), FN4-ARIN (Admin), FN4-ARIN (Abuse)
 3927                    RGNET-WAO                                          RB366-ARIN (Admin), RB366-ARIN (Abuse), RB366-ARIN (Tech)
 3928                    VALLEY-TECH                                        JP221-ARIN (Tech), JP221-ARIN (Admin), JP221-ARIN (Abuse)
 3929                    APNIC-3929                                         AWC12-ARIN (Abuse), AWC12-ARIN (Admin), AWC12-ARIN (Tech)
 3930                    FERC-FED-US                                        CCH129-ARIN (Abuse), CCH129-ARIN (Tech), CCH129-ARIN (Admin), AK53-ARIN (Tech)
 3931                    LOGICAL                                            NOCAD55-ARIN (Admin), HOS301-ORG-ARIN (Tech), LOGIC-ARIN (Abuse), NOCAD55-ARIN (NOC), DL160-ARIN (Tech)
 3932                    VOICENET                                           RUDYA-ARIN (Tech), RUDYA-ARIN (NOC), RUDYA-ARIN (Admin), RUDYA-ARIN (Abuse)
 3933                    OPEN                                               LONGS42-ARIN (Admin), PIETZ-ARIN (Tech), PIETZ-ARIN (Abuse), LONGS42-ARIN (Tech), LONGS42-ARIN (Abuse), BFE16-ARIN (Tech), BFE16-ARIN (Abuse), BFE16-ARIN (NOC)
 3934                    NTTA-3934                                          VIPAR-ARIN (Tech), VIPAR-ARIN (Admin), NAAC-ARIN (Abuse), NASC-ARIN (NOC), VIA4-ORG-ARIN (Tech)
 3935                    EASTWAUNIV                                         JSM1-ARIN (Admin), JSM1-ARIN (Abuse), JSM1-ARIN (Tech)
 3936-3942               NTTA-3936                                          VIPAR-ARIN (Tech), VIPAR-ARIN (Admin), NAAC-ARIN (Abuse), NASC-ARIN (NOC), VIA4-ORG-ARIN (Tech)
 3943                    DMM                                                GATC-ARIN (Tech), GATC-ARIN (Admin), DN5-ORG-ARIN (Abuse), GATC-ARIN (NOC)
 3944                    PARTAN-LAB                                         AP25-ARIN (Admin), AP25-ARIN (NOC), AP25-ARIN (Abuse), AP25-ARIN (Tech)
 3945                    NTTA-3945                                          VIPAR-ARIN (Tech), VIPAR-ARIN (Admin), NAAC-ARIN (Abuse), NASC-ARIN (NOC), VIA4-ORG-ARIN (Tech)
 3946-3949               NTTA-3946                                          VIPAR-ARIN (Tech), VIPAR-ARIN (Admin), NAAC-ARIN (Abuse), NASC-ARIN (NOC), VIA4-ORG-ARIN (Tech)
 3950                    IXL-AS                                             CP82-ARIN (Admin), CP82-ARIN (Tech), CP82-ARIN (Abuse)
 3951                    CENTURYLINK-LEGACY-QWEST-SPA-COLUMBUS              CAD54-ARIN (Abuse), QIA-ARIN (Admin), QIA-ARIN (Tech)
 3952                    TELLABS-ASN                                        CORIA4-ARIN (Abuse), CORIA4-ARIN (Tech), GITAU-ARIN (Tech), CORIA4-ARIN (Admin), GITAU-ARIN (Abuse), MB487-ARIN (Tech)
 3953                    PROFILE                                            JS405-ARIN (Tech), JS405-ARIN (Abuse), JS405-ARIN (Admin)
 3954                    DNIC-AS-03954                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 3955                    WANG-US-1                                          MMO113-ARIN (Tech), MMO113-ARIN (Admin), MMO113-ARIN (Abuse), RN676-ARIN (Tech)
 3956                    TX-METRO                                           SRL-ARIN (Abuse), SRL-ARIN (Admin), SRL-ARIN (Tech)
 3957                    AIP                                                ASTEC-ARIN (Tech), ASTEC-ARIN (Abuse), ASADM3-ARIN (Admin)
 3958                    AIRCANADA                                          BH1563-ARIN (Admin), BH1563-ARIN (Tech), BH1563-ARIN (Abuse)
 3959                    ONEWORLD                                           TW93-ARIN (Tech), TW93-ARIN (Admin), TW93-ARIN (Abuse)
 3960                    AASAMERITECH                                       GN34-ARIN (Abuse), GN34-ARIN (Admin), GN34-ARIN (Tech)
 3961                    INDUSTRYNET                                        JS409-ARIN (Tech), JS409-ARIN (Admin), JS409-ARIN (Abuse)
 3962                    DIRECTNIC-CLUSTER1-TORRONTO                        DNLR-ARIN (Abuse), DNLR-ARIN (Tech), DNLR-ARIN (Admin), DNLR-ARIN (NOC)
 3963                    INTERLINK-1                                        VIS1-ARIN (Admin), SWIPP-ARIN (Tech), OA12-ARIN (NOC), SWIPP9-ARIN (Tech), ABUSE3-ARIN (Abuse)
 3964                    INTERLINK-2                                        VIS1-ARIN (Admin), SWIPP-ARIN (Tech), OA12-ARIN (NOC), SWIPP9-ARIN (Tech), ABUSE3-ARIN (Abuse)
 3965                    INTERLINK-3                                        VIS1-ARIN (Admin), SWIPP-ARIN (Tech), OA12-ARIN (NOC), SWIPP9-ARIN (Tech), ABUSE3-ARIN (Abuse)
 3966                    INTERLINK-4                                        VIS1-ARIN (Admin), SWIPP-ARIN (Tech), OA12-ARIN (NOC), SWIPP9-ARIN (Tech), ABUSE3-ARIN (Abuse)
 3967                    NSM350                                             LYHY-ARIN (NOC), NETWO6951-ARIN (Abuse), NETWO6951-ARIN (Tech), LYHY-ARIN (Tech), NETWO6951-ARIN (NOC), LYHY-ARIN (Abuse), LYHY-ARIN (Admin)
 3968                    LACNIC-3968                                        LACNIC-ARIN (Tech), LACNIC-ARIN (Admin), LACNIC-ARIN (Abuse)
 3969                    APNIC-3969                                         AWC12-ARIN (Abuse), AWC12-ARIN (Admin), AWC12-ARIN (Tech)
 3970                    RG-PART                                            RB366-ARIN (Admin), RB366-ARIN (Abuse), RB366-ARIN (Tech)
 3971                    NETS-ABQ-VA                                        JS119-ARIN (Tech), JS119-ARIN (Admin), JS119-ARIN (Abuse)
 3972                    AS-SPRINTLINK-NYSERN1                              ARINS-ARIN (Abuse), ARINS-ARIN (Tech), AD266-ARIN (Admin), SPRINT-NOC-ARIN (Tech)
 3973                    AS-SPRINTLINK-NYSERN2                              ARINS-ARIN (Abuse), ARINS-ARIN (Tech), AD266-ARIN (Admin), SPRINT-NOC-ARIN (Tech)
 3974                    REZONET                                            PG118-ARIN (Admin), PG118-ARIN (Abuse), PG118-ARIN (Tech)
 3975                    AMSC                                               CKN23-ARIN (Admin), DU13-ARIN (Abuse), CKN23-ARIN (Tech), DU13-ARIN (Tech)
 3976                    APNIC-3976                                         AWC12-ARIN (Abuse), AWC12-ARIN (Admin), AWC12-ARIN (Tech)
 3977-3992               UTELFLA                                            BH216-ARIN (Admin), BH216-ARIN (Tech), BH216-ARIN (Abuse)
 3993                    KW-NET                                             AT6-ARIN (Admin), AT6-ARIN (Abuse), AT6-ARIN (Tech), EH27-ARIN (Tech)
 3994                    INET-CORE-AS                                       CKN23-ARIN (Abuse), CKN23-ARIN (Tech), CKN23-ARIN (Admin), AN48-ARIN (Tech)
 3995                    IWEB                                               CC144-ARIN (Tech), CC144-ARIN (Admin), CC144-ARIN (Abuse)
 3996                    FIRN                                               ZW31-ARIN (Tech), ZW31-ARIN (Admin), ZW31-ARIN (Abuse), ZF29-ARIN (Tech)
 3997                    ACM-AS                                             JS440-ARIN (Tech), JS440-ARIN (Admin), JS440-ARIN (Abuse)
 3998                    CITY-NET                                           GDD3-ARIN (Abuse), CKN23-ARIN (Admin), CKN23-ARIN (Tech), GDD3-ARIN (Tech)
 3999                    PENN-STATE                                         NOC1840-ARIN (NOC), APTP-ARIN (Tech), MAC5-ARIN (Tech), OIS6-ARIN (Abuse), APAP-ARIN (Admin)
 4000-4005               GLOBAL-SPLK                                        DA74-ARIN (Abuse), CKN23-ARIN (Tech), CKN23-ARIN (Admin), DA74-ARIN (Tech)
 4006                    COGENT-4006                                        IPALL-ARIN (Admin), COGEN-ARIN (Abuse), IPALL-ARIN (Tech), ZC108-ARIN (NOC)
 4007                    APNIC-4007                                         AWC12-ARIN (Abuse), AWC12-ARIN (Admin), AWC12-ARIN (Tech)
 4008                    UNIVERSAL                                          JM448-ARIN (Tech), JM448-ARIN (Admin), JM448-ARIN (Abuse)
 4009                    INET                                               CKN23-ARIN (Abuse), CKN23-ARIN (Tech), CKN23-ARIN (Admin), AN48-ARIN (Tech)
 4010                    DNIC-AS-04010                                      REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 4011                    DNIC-AS-04011                                      REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 4012                    DCM                                                JJR2-ARIN (Abuse), JJR2-ARIN (Admin), JJR2-ARIN (Tech)
 4013                    ASN-GAN                                            MMS8-ARIN (Abuse), MMS8-ARIN (Tech), MMS8-ARIN (Admin)
 4014                    WIS                                                TB89-ARIN (Abuse), TB89-ARIN (Admin), TB89-ARIN (Tech)
 4015                    CENTURYLINK-LEGACY-QWEST-SPA-OMAHA                 QIA-ARIN (Admin), QIA-ARIN (Tech), QWEST3-ARIN (Abuse)
 4016                    RIS                                                DNSSU2-ARIN (Tech), DNSSU2-ARIN (Abuse), DNSSU2-ARIN (NOC), DNSAD227-ARIN (Admin)
 4017                    BELLST                                             VIS1-ARIN (Tech), VAT1-ARIN (Admin), VAT1-ARIN (Abuse), VAT1-ARIN (Tech)
 4018                    DIA-AS                                             TD77-ARIN (Tech), TD77-ARIN (Admin), TD77-ARIN (Abuse)
 4019                    IIE-AS                                             JD196-ARIN (Admin), JD196-ARIN (Abuse), JD196-ARIN (Tech)
 4020-4038               ASN-4020-1                                         REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 4039                    ITSON-AS                                           ARINS6-ARIN (Admin), ARINS6-ARIN (Abuse), ARINS6-ARIN (Tech)
 4040                    APNIC-4040                                         AWC12-ARIN (Abuse), AWC12-ARIN (Admin), AWC12-ARIN (Tech)
 4041                    RGNET-SJ0                                          TJ55-ARIN (Abuse), TJ55-ARIN (Admin), TJ55-ARIN (Tech)
 4042                    BSINET2                                            BND-ARIN (NOC), BND-ARIN (Tech), BND1-ARIN (Abuse), BND-ARIN (Admin)
 4043                    MIC-ASN                                            FWC-ARIN (Tech), NANC-ARIN (NOC), CRS12-ARIN (Admin), NANC-ARIN (Abuse), AU8-ARIN (Tech)
 4044                    AKSI-NET-AS                                        SW156-ARIN (Admin), SW156-ARIN (Tech), SW156-ARIN (Abuse)
 4045                    AS-WINTERNET                                       HNT1-ARIN (Tech), HNT1-ARIN (NOC), HAT4-ARIN (Abuse), KAA13-ARIN (Admin), MF41-ARIN (Tech)
 4046                    FAA                                                TMD1-ARIN (Abuse), TMD1-ARIN (NOC), TMD1-ARIN (Tech), DPJ1-ARIN (Tech), TMD1-ARIN (Admin)
 4047                    CIRS-AS                                            MW131-ARIN (Tech), MW131-ARIN (Abuse), MW131-ARIN (Admin)
 4048                    CENTURYLINK-SOUTH-AMERICA-LEGACY-QWEST             CAD54-ARIN (Abuse), QIA-ARIN (Admin), QIA-ARIN (Tech)
 4049                    APNIC-4049                                         AWC12-ARIN (Abuse), AWC12-ARIN (Admin), AWC12-ARIN (Tech)
 4050                    OMNINET-PRI-AS                                     SB98-ARIN (Admin), SB98-ARIN (Abuse), SB98-ARIN (Tech)
 4051                    PACAFINY-GW                                        BB248-ARIN (Admin), BB248-ARIN (Tech), BB248-ARIN (Abuse)
 4052                    ROVI                                               MNO35-ARIN (Tech), MNO35-ARIN (Admin), MNO35-ARIN (Abuse)
 4053                    USRX-AS                                            TT100-ARIN (Tech), TT100-ARIN (Abuse), TT100-ARIN (Admin)
 4054                    EZNET-AS                                           NETWO168-ARIN (Abuse), NETWO168-ARIN (Tech), NETWO168-ARIN (Admin), NETWO225-ARIN (Tech)
 4056                    LASC-USAF                                          LW48-ARIN (Tech), LW48-ARIN (Abuse), LW48-ARIN (Admin)
 4057                    DCS-ASN                                            HARTR-ARIN (Abuse), HARTR-ARIN (Admin), HARTR-ARIN (Tech), HARTR-ARIN (NOC)
 4058                    APNIC-4058                                         AWC12-ARIN (Abuse), AWC12-ARIN (Admin), AWC12-ARIN (Tech)
 4059                    WENG-AS                                            CKN23-ARIN (Tech), CKN23-ARIN (Admin), AW180-ARIN (Abuse), AW180-ARIN (Tech)
 4060                    APNIC-4060                                         AWC12-ARIN (Abuse), AWC12-ARIN (Admin), AWC12-ARIN (Tech)
 4061                    GTTW-NET                                           JB98-ARIN (Admin), JB98-ARIN (Abuse), JB98-ARIN (Tech)
 4062                    SIGNALDATA                                         FC33-ARIN (Admin), FC33-ARIN (Tech), FC33-ARIN (Abuse)
 4063                    ELCSCI-ASN                                         BBU154-ARIN (Tech), CL162-ARIN (Abuse), CL162-ARIN (Admin), CL162-ARIN (Tech)
 4064                    COGENT-4064                                        IPALL-ARIN (Admin), ZC108-ARIN (NOC), COGEN-ARIN (Abuse), IPALL-ARIN (Tech)
 4065-4125               DNIC-ASBLK-04065-04125                             REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 4126                    SPTEL2                                             MC239-ARIN (Admin), MC239-ARIN (Abuse), MC239-ARIN (Tech)
 4127                    DUPONT-SCD                                         NMM-ARIN (Admin), NMM-ARIN (Tech), NMM-ARIN (Abuse)
 4128                    RG-SPARE                                           RB366-ARIN (Admin), RB366-ARIN (Abuse), RB366-ARIN (Tech)
 4129                    WIRED-NET                                          NETWO1939-ARIN (Tech), NETWO1939-ARIN (Admin), NETWO1939-ARIN (Abuse)
 4130                    UPITT-AS                                           ABUSE385-ARIN (Abuse), JAK12-ARIN (Tech), JPW1-ARIN (Admin), CNNE-ARIN (NOC)
 4131                    USIS-AS                                            MNB-ARIN (Tech), MNB-ARIN (Abuse), MNB-ARIN (Admin)
 4132                    COGENT-4132                                        IPALL-ARIN (Admin), ZC108-ARIN (NOC), COGEN-ARIN (Abuse), IPALL-ARIN (Tech)
 4133                    BITWISE                                            JL237-ARIN (Abuse), JL237-ARIN (Admin), JL237-ARIN (Tech)
 4134                    APNIC-4134                                         AWC12-ARIN (Abuse), AWC12-ARIN (Admin), AWC12-ARIN (Tech)
 4135                    ENVISIONET                                         AH106-ARIN (Abuse), AH106-ARIN (Tech), AH106-ARIN (Admin)
 4136                    QTS-JCY1-PNJ1                                      ABUSE1735-ARIN (Abuse), NOC2886-ARIN (Tech), NOC2886-ARIN (NOC), NOC2711-ARIN (Admin), NOC2886-ARIN (Abuse), NOC2711-ARIN (Tech)
 4137                    DIRECTNET                                          MK134-ARIN (Tech), MK134-ARIN (Abuse), MK134-ARIN (Admin)
 4138                    REACH                                              CKN23-ARIN (Admin), CKN23-ARIN (Tech), TS246-ARIN (Abuse), TS246-ARIN (Tech)
 4139                    INTERSRV                                           RG102-ARIN (Admin), RG102-ARIN (Tech), RG102-ARIN (Abuse)
 4140                    INMIND                                             CKN23-ARIN (Abuse), CKN23-ARIN (Tech), CKN23-ARIN (Admin), SS883-ARIN (Tech)
 4141                    LACNIC-4141                                        LACNIC-ARIN (Tech), LACNIC-ARIN (Admin), LACNIC-ARIN (Abuse)
 4142                    APNIC-4142                                         AWC12-ARIN (Abuse), AWC12-ARIN (Admin), AWC12-ARIN (Tech)
 4143                    UNIBASE                                            LC64-ARIN (Admin), MC668-ARIN (Tech), MC668-ARIN (Abuse), LC64-ARIN (Tech)
 4144                    INTERGUIDE                                         OSM1-ARIN (Abuse), OSM1-ARIN (Admin), OSM1-ARIN (Tech)
 4145                    UPS-AS4145                                         UITG-ARIN (Tech), UITA-ARIN (Tech), UIA7-ARIN (Abuse), UIA7-ARIN (Admin)
 4146                    TACH-NET                                           IB5-ARIN (Abuse), IB5-ARIN (Tech), IB5-ARIN (Admin)
 4147                    DNIC-AS-04147                                      REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse), REGIS10-ARIN (Tech)
 4148                    RIPE-ASNBLOCK-4148                                 RNO29-ARIN (Tech), RNO29-ARIN (Admin), ABUSE3850-ARIN (Abuse)
 4149                    JPL-AS4149                                         NOC157-ARIN (Abuse), NOC157-ARIN (NOC), PAV18-ARIN (Admin), JMI120-ARIN (Tech)
 4150                    SUPRANET-WIS                                       STC1-ARIN (Tech), SAC30-ARIN (Admin), SAC31-ARIN (Abuse), SUPPO1504-ARIN (NOC)
 4151-4157               USDA-1                                             SECUR27-ARIN (Abuse), ZU20-ARIN (Tech), ZU20-ARIN (Admin)
 4158                    APNIC-4158                                         AWC12-ARIN (Abuse), AWC12-ARIN (Admin), AWC12-ARIN (Tech)
 4159                    ONEWORLD-AS-1                                      JC493-ARIN (Admin), JC493-ARIN (Tech), JC493-ARIN (Abuse)
 4160                    SPECTRA                                            HS2-ORG-ARIN (Abuse), HS2-ORG-ARIN (Tech), HS2-ORG-ARIN (Admin)
 4161-4164               TIN-1                                              REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 4165                    DNIC-AS-04165                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 4166                    APPL-AS-4166                                       MKE2-ARIN (Admin), NNE26-ARIN (Tech), NAT19-ARIN (Abuse), NDA5-ARIN (Tech)
 4167                    CONNECTSOFT-COM                                    CKN23-ARIN (Abuse), CKN23-ARIN (Tech), CKN23-ARIN (Admin)
 4168                    GULFSTAR                                           EM78-ARIN (Tech), EM78-ARIN (Admin), EM78-ARIN (Abuse)
 4169                    ECHNET                                             BJ38-ARIN (Tech), BJ38-ARIN (Admin), BJ38-ARIN (Abuse)
 4170                    DNIC-AS-04170                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 4171                    EUROGRAFIX                                         SJ64-ARIN (Admin), SJ64-ARIN (Tech), SJ64-ARIN (Abuse)
 4172                    WAYNESBURG                                         NETAD209-ARIN (Tech), NETAD209-ARIN (Admin), NETAD209-ARIN (Abuse)
 4173                    WATER                                              RA77-ARIN (Tech), RA77-ARIN (Admin), RA77-ARIN (Abuse)
 4174-4175               APNIC-4174                                         AWC12-ARIN (Abuse), AWC12-ARIN (Admin), AWC12-ARIN (Tech)
 4176                    PGH-NET                                            ED13-ARIN (Tech), ED13-ARIN (Abuse), ED13-ARIN (Admin)
 4177                    WORLTEK                                            AA45-ARIN (Tech), AA45-ARIN (Admin), AA45-ARIN (Abuse)
 4178                    AFRINIC-ASNBLOCK-4178                              GENER11-ARIN (Tech), GENER11-ARIN (Abuse), GENER11-ARIN (Admin)
 4179                    CITY-OF-LA                                         DK184-ARIN (Tech), DK184-ARIN (Abuse), DK184-ARIN (Admin)
 4180                    CHAPUB                                             FM50-ARIN (Tech), FM50-ARIN (Abuse), FM50-ARIN (Admin)
 4181                    TDS-AS                                             INE14-ARIN (Tech), SERVI6-ARIN (Tech), INE14-ARIN (Admin), ABUSE163-ARIN (Abuse), INO44-ARIN (Tech)
 4182                    MLSLI-2                                            DINGR-ARIN (Tech), CRAWF25-ARIN (Admin), VEDJA-ARIN (NOC), VEDJA-ARIN (Abuse)
 4183                    UUNET-MCIWCOM                                      VIS1-ARIN (Admin), SWIPP-ARIN (Tech), OA12-ARIN (NOC), SWIPP9-ARIN (Tech), ABUSE3-ARIN (Abuse)
 4184                    ORACLE-CORPORATION-NL                              ORACL1-ARIN (Tech), ORACL-ARIN (Admin), NISAM-ARIN (Abuse)
 4185                    ATTIS-ASN4185                                      ABUSE6-ARIN (Abuse), SUPPO-ARIN (NOC), IPADM2-ARIN (Tech), ZS44-ARIN (Admin)
 4186                    ATTIS-ASN4186                                      ABUSE6-ARIN (Abuse), SUPPO-ARIN (NOC), IPADM2-ARIN (Tech), ZS44-ARIN (Admin)
 4187                    INFOBAHN                                           ES84-ARIN (Admin), ES84-ARIN (Tech), ES84-ARIN (Abuse)
 4188                    GILBARCO-AS                                        RICKA-ARIN (Admin), JEL10-ARIN (Tech), JEL10-ARIN (Abuse), RICKA-ARIN (Tech)
 4189                    OSSHENET1                                          PK104-ARIN (Tech), PK104-ARIN (Admin), PK104-ARIN (Abuse)
 4190                    BINGHAMTON-U                                       MPH24-ARIN (Tech), ABUSE492-ARIN (Abuse), MPH24-ARIN (Admin)
 4191                    STORTEK-NAT                                        ORACL1-ARIN (Tech), ORACL-ARIN (Admin), NISAM-ARIN (Abuse)
 4192                    STORTEK-INT                                        ORACL1-ARIN (Tech), ORACL-ARIN (Admin), NISAM-ARIN (Abuse)
 4193                    WA-STATE-GOV                                       LR421-ARIN (Abuse), LR421-ARIN (Tech), DPC18-ARIN (NOC), LR421-ARIN (Admin)
 4194                    SDINTERNET                                         TS236-ARIN (Abuse), TS236-ARIN (Admin), TS236-ARIN (Tech)
 4195                    SHAW                                               SYSTE95-ARIN (Tech), SYSTE95-ARIN (Admin), SYSTE95-ARIN (Abuse), SHAW-DNS-ARIN (Tech)
 4196                    WELLSFARGO-4196                                    ZW100-ARIN (NOC), ZW100-ARIN (Admin), ZW100-ARIN (Abuse), ZW100-ARIN (Tech)
 4197                    APNIC-4197                                         AWC12-ARIN (Abuse), AWC12-ARIN (Admin), AWC12-ARIN (Tech)
 4198                    RADIXNET                                           NOC48-ORG-ARIN (Tech), JRW75-ARIN (Admin), NOC48-ORG-ARIN (Abuse)
 4199                    CIBC-CITE1                                         CIBCT-ARIN (Tech), CIBCT-ARIN (Admin), CIBCT-ARIN (Abuse)
 4200                    COGENT-4200                                        IPALL-ARIN (Admin), ZC108-ARIN (NOC), COGEN-ARIN (Abuse), IPALL-ARIN (Tech)
 4201                    ORST-AS                                            BROCK9-ARIN (Tech), HOSTM1272-ARIN (Abuse), BROCK9-ARIN (Abuse), DOLAN1-ARIN (Admin), HOSTM1272-ARIN (Tech), BA26-ARIN (Tech)
 4202                    APNIC-4202                                         AWC12-ARIN (Abuse), AWC12-ARIN (Admin), AWC12-ARIN (Tech)
 4203                    TGF-TIS                                            CKN23-ARIN (Tech), CKN23-ARIN (Admin), TN-IS-ARIN (Abuse), JM532-ARIN (Tech)
 4204                    ALLWARE-AS                                         JD224-ARIN (Tech), JD224-ARIN (Abuse), JD224-ARIN (Admin)
 4205                    CIBC-CITE2                                         CIBCT-ARIN (Tech), CIBCT-ARIN (Admin), CIBCT-ARIN (Abuse)
 4206                    INMS                                               BGPAD3-ARIN (Abuse), BGPAD3-ARIN (Admin), BGPAD3-ARIN (Tech)
